2013-11-11 18:57:28 [INFO] [ForgeModLoader] Forge Mod Loader version 6.2.62.871 for Minecraft 1.6.2 loading
2013-11-11 18:57:28 [INFO] [ForgeModLoader] Java is Java HotSpot(TM) 64-Bit Server VM, version 1.7.0_45, running on Windows 7:amd64:6.1, installed at C:\Program Files\Java\jre7
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Java classpath at launch is forge.jar
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Java library path at launch is C:\Windows\system32;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\AMD APP\bin\x86_64;C:\Program Files (x86)\AMD APP\bin\x86;C:\Program Files\Common Files\Microsoft Shared\Windows Live;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static;C:\Program Files (x86)\Common Files\ACD Systems\EN;C:\Program Files (x86)\Common Files\ACD Systems;C:\Program Files (x86)\Smart Projects\IsoBuster;C:\Program Files (x86)\QuickTime\QTSystem\;C:\Program Files\Java\jdk1.7.0_45\bin;C:\Users\Daniel\Ant\apache-ant-1.9.2\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Java\jdk1.7.0_17\bin;C:\Users\Daniel\AppData\Local\Gource\cmd;.
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Enabling runtime deobfuscation
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Instantiating coremod class FMLCorePlugin
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Loaded coremod FMLCorePlugin
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Instantiating coremod class FMLForgePlugin
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Loaded coremod FMLForgePlugin
2013-11-11 18:57:28 [FINE] [ForgeModLoader] All fundamental core mods are successfully located
2013-11-11 18:57:28 [FINE] [ForgeModLoader] Discovering coremods
2013-11-11 18:57:28 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.AccessTransformer
2013-11-11 18:57:29 [INFO] [STDOUT] Loaded 39 rules from AccessTransformer config file fml_at.cfg
2013-11-11 18:57:29 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.MarkerTransformer
2013-11-11 18:57:29 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.SideTransformer
2013-11-11 18:57:29 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.ForgeAccessTransformer
2013-11-11 18:57:29 [INFO] [STDOUT] Loaded 107 rules from AccessTransformer config file forge_at.cfg
2013-11-11 18:57:29 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.EventTransformer
2013-11-11 18:57:29 [FINE] [ForgeModLoader] Running coremod plugins
2013-11-11 18:57:29 [FINE] [ForgeModLoader] Running coremod plugin FMLCorePlugin
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.Block.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockBaseRailLogic.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockButton.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCactus.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockChest.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCocoa.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockComparator.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCrops.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockDoor.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFarmland.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFire.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFlower.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFlowing.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFluid.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockGrass.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLadder.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLeaves.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLever.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLog.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMushroom.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMycelium.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockNetherStalk.binpatch
2013-11-11 18:57:30 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPane.binpatch
